"id","name","p","d","c","a"
"4366","Armini",0,1,0,0
"4375","Terzic",0,1,0,0
"4378","Ranieri L.",0,1,0,0
"4386","Sala M",0,1,0,0
"4391","Casasola",0,1,0,0
"4392","Rizzo N",0,1,0,0
"4397","Vavro",0,1,0,0
"4398","Benzar",0,1,0,0
"4406","Tripaldelli",0,1,0,0
"4420","Bocchetti",0,1,0,0
"4432","Okoli",0,1,0,0
"4438","Cassandro",0,1,0,0
"4443","Curcio",0,1,0,0
"4454","Pinna",0,1,0,0
"4458","Candela",0,1,0,0
"4467","Jorge Silva",0,1,0,0
"4473","Riccardi D",0,1,0,0
"4480","Minelli",0,1,0,0
"4481","Bouah",0,1,0,0
"4487","Ferigra",0,1,0,0
"4488","Gilli",0,1,0,0
"4493","Dawidowicz",0,1,0,0
"4494","Empereur",0,1,0,0
"4496","Vitale L",0,1,0,0
"4502","Gallo",0,1,0,0
"4509","Cipriano",0,1,0,0
"4511","Duarte",0,1,0,0
"4519","Cetin",0,1,0,0
"4528","Gasolina Wesley",0,1,0,0
"4881","Czyborra",0,1,0,0
"4887","Bellanova",0,1,0,0
"4897","Pirola",0,1,0,0
"4917","Prodl",0,1,0,0
"65","Mancosu",0,0,1,0
"2529","Mkhitaryan",0,0,1,0
"4427","Malinovskyi",0,0,1,0
"2409","Ribery",0,0,1,1
"4377","Castrovilli",0,0,1,0
"4514","Nandez",0,0,1,0
"2556","Eriksen",0,0,1,0
"632","Zaccagni",0,0,1,0
"4449","Tonali",0,0,1,0
"4522","Amrabat",0,0,1,0
"2472","Ramsey",0,0,1,0
"2488","Moses",0,0,1,0
"4512","Schone",0,0,1,0
"4524","Sema",0,0,1,0
"4287","Lobotka",0,0,1,0
"4423","Hernani",0,0,1,0
"4486","Strefezza",0,0,1,0
"179","Petriccione",0,0,1,0
"2379","Rabiot",0,0,1,0
"4725","Demme",0,0,1,0
"4892","Saelemaekers",0,0,1,0
"4475","Majer",0,0,1,0
"4479","Elmas",0,0,1,0
"4513","Zmrhal",0,0,1,0
"4869","Dominguez",0,0,1,0
"430","Brugman",0,0,1,0
"4400","Shakhov",0,0,1,0
"4476","Tabanelli",0,0,1,0
"4886","Pereiro",0,0,1,0
"272","Medel",0,1,1,0
"434","Jajalo",0,0,1,0
"4384","Jagiello",0,0,1,0
"4435","Colley E.",0,0,1,1
"4445","Bisoli",0,0,1,0
"4448","Spalek",0,0,1,0
